"18","CCF026/ONIX","Techo","Nacional","360","50-60 Hz","127 V~","2.9","378","Acero","ONIX NATURAL","CHOCOLATE","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"57 x 59. Base 13 (cadena: 45 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"19","CFW6L/ONIX/O","Techo","AUSTRE / LUZBEY","360","50-60 Hz","127 V~","2.9","378","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"90 x 90. Base 17 (cadena: 90 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"20","CFT6LP/N","Techo","Nacional","360","50-60 Hz","127 V~","2.9","378","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"68 x 54 Base 13 (Cadena 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"21","CFT6LP/O","Techo","AUSTRE / GUIDO","360","50-60 Hz","127 V~","2.9","378","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"68 x 54 Base 13 (Cadena 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"22","CBS-6L/O","Techo","AUSTRE / GUIDO","360","50-60 Hz","127 V~","2.9","378","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"116 x 108 Base 17 (Cadena: 90 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"23","CBS-6L/N","Techo","AUSTRE / GUIDO","360","50-60 Hz","127 V~","2.9","378","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"116 x 108 Base 17 (Cadena: 90 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"24","CFW6L/O","Techo","Nacional","360","50-60 Hz","127 V~","2.9","378","Acero Forjado","ONIX NATURAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","6",,"90 x 90 Base 17 (Cadena 90 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"25","CIT5L/S","Techo","Nacional","300","50-60 Hz","127 V~","2.4","315","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"57 x 38. Base 13 (Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"26","CFO5L/ONIX/O","Techo","AUSTRE / LUZBEY","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","ONIX NATURAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"56 x 60. Base 13 (cadena: 45 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"27","CFI5L/ONIX/O","Techo","AUSTRE / LUZBEY","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","ONIX NATURAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"80 x 70. Base 13 (cadena: 45 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"28","CFC5L/O","Techo","Nacional","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"57 x 57 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"29","CFD5L/CH","Techo","AUSTRE / GUIDO","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL","CHOCOLATE","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"70 x 70 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"30","CFJ5L/N","Techo","AUSTRE / GUIDO","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"70 x 60 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"31","CFJ5L/O","Techo","AUSTRE / GUIDO","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"70 x 60 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"32","CFK5L/O","Techo","AUSTRE / GUIDO","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"66 x 65 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"33","C2025-5/CO","Techo","World of Ligths","300","50-60 Hz","127 V~","2.4","315","Acero","CRISTAL","Café obscuro","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"48.5 x 47 Base 13 ( Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"34","96235-5","Techo","World of Ligths","300","50-60 Hz","127 V~","2.4","315","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"73 x 48 Base 13 ( Cadena 51.5 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"35","C1084-5","Techo","World of Ligths","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL AMBAR","VERDE ANTIGUO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"53 x 65 Base 13 ( Cadena 50 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"36","C2025-5/S","Techo","World of Ligths","300","50-60 Hz","127 V~","2.4","315","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"48.5 x 47 Base 13 ( Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"37","V2025","Techo","WINGMEI ","250","50-60 Hz","127 V~","2","262.5","Acero","Cristal","Cromado","N/A","20","N/A","N/A","N/A","N/A","GU10","5",,"8 Ø x 23 + 80 Cable x ( Base 28 x 2.5  )","N/A","Incandescente/LED","GU10","Interior","S/C",,"43612",,"A"
"38","CH-3610-5","Techo","Leader Ligthing","200","50-60 Hz","127 V~","1.6","210","Acero","Cristal","Satinado","N/A","20","N/A","N/A","N/A","N/A","G9","5",,"49 x 13 (Pantalla 7.8 Ø x 10.2) x ( Base 10 Ø )","N/A","Incandescente","G9","Interior","S/C",,,,"DESCONTINUADO"
"39","CFM5L/O","Techo","AUSTRE / GUIDO","200","50-60 Hz","127 V~","1.6","210","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"45 x 69 Base 13 (Cadena 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"40","CFM5L/N","Techo","Nacional","200","50-60 Hz","127 V~","1.6","210","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","5",,"45 x 69 Base 13 (Cadena 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"41","CFCP4L/O","Techo","AUSTRE / GUIDO","240","50-60 Hz","127 V~","1.9","252","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","4",,"58 x 51 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"42","CFCP4L/N","Techo","Nacional","300","50-60 Hz","127 V~","2.4","315","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","4",,"58 x 51 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"43","V2042","Techo","Wingmei","160","50-60 Hz","127 V~","1.3","168","Acero","CRISTAL","MADERA","N/A","20","N/A","N/A","N/A","N/A","E27","4",,"50 Ø  x 20 + 90 Cable ( Base 13 Ø x 2.5)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"44","C2028-4/N","Techo","Austre","100","50-60 Hz","127 V~","0.8","105","Acero","N/A","Negro","N/A","20","N/A","N/A","N/A","N/A","E14","4",,"40 x 40 x 61 ( Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"NUEVO"
"45","1708/O","Montaje","Nacional","240","50-60 Hz","125 V~","1.9","252","Poste Acero, Farol Aluminio ","CRISTAL OPALINO: 3 GLOBOS R8, 1 GLOBO R10","Oxido","N/A","54","N/A","N/A","N/A","N/A","E27","4",,"76 x 2.4 m","N/A","Incandescente","Opcional","Exterior","S/C",,,,"DESCONTINUADO"
"46","1708/N","Montaje","Nacional","240","50-60 Hz","125 V~","1.9","252","Poste Acero, Farol Aluminio ","CRISTAL OPALINO: 3 GLOBOS R8, 1 GLOBO R10","Negro","N/A","54","N/A","N/A","N/A","N/A","E27","4",,"76 x 2.4 m","N/A","Incandescente","Opcional","Exterior","S/C",,,,"SOBRE  PEDIDO"
"47","PE1708N","Montaje","Nacional","240","50-60 Hz","125 V~","1.9","252","Poste Acero, Farol Aluminio ","CRISTAL OPALINO: 3 GLOBOS R8, 1 GLOBO R10","NEGRO / OXIDO","N/A","54","N/A","N/A","N/A","N/A","E27","4",,"76 x 2.4 m","N/A","Incandescente","Opcional","Exterior","S/C",,,,"SOBRE  PEDIDO"
"48","PE1708O","Montaje","Nacional","240","50-60 Hz","125 V~","1.9","252","Poste Acero, Farol Aluminio ","CRISTAL OPALINO: 3 GLOBOS R8, 1 GLOBO R10","NEGRO / OXIDO","N/A","54","N/A","N/A","N/A","N/A","E27","4",,"76 x 2.4 m","N/A","Incandescente","Opcional","Exterior","S/C",,,,"DESCONTINUADO"
"49","PCL4L/O","Montaje","Nacional","240","50-60 Hz","125 V~","1.9","252","Poste Acero, Farol Aluminio ","CRISTAL OPALINO: 3 GLOBOS R10, 1 GLOBO R12","OXIDO","N/A","54","N/A","N/A","N/A","N/A","E27","4",,"78 X 2.9 m","N/A","Incandescente","Opcional","Exterior","S/C",,,,"SOBREPEDIDO"
"50","V22154W/65","Muro","Wingmei","36","50-60 Hz","100-240 V~","0.4","37.8","Acero","Cristal","Cristal frost","N/A","23","N/A","N/A","N/A","N/A","E27","4",,"65 x 8 X 10.5 ","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"51","JB11-20","Techo","Wingmei","180","50-60 Hz","127 V~","1.4","189","Acero","Cristal","Satinado","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"50 Ø x 13  ( 34.5 Ø  BASE ) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"52","PIT/S","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL ACIDO","Satinado","N/A","23","N/A","N/A","N/A","N/A","E27","3",,"35  Ø x 33 x ( Base 13.5 Ø x 2.5)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"53","PIT/A","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL ACIDO","Antique","N/A","23","N/A","N/A","N/A","N/A","E27","3",,"35  Ø x 33 x ( Base 13.5 Ø x 2.5)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"54","C3C401/AM","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Aluminio","CRISTAL","ALUMINIO MATE / CRISTAL","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"32.5 Ø + 156 cable x (17.8 Ø x 18 pantalla)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"55","C3C601/AM","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Aluminio","CRISTAL","ALUMINIO MATE / CRISTAL ACIDO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"14 Ø x 23 + 156  (Base 32.5 3 )","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"56","L3C601","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Cristal","Cristal","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"14 Ø x 19 +156 cable x (Base 60 Largo)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"57","V2740","Techo","Wingmei","180","50-60 Hz","127 V~","1.4","189","Acero","Cristal","Inox","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"40 Ø x 12 + 90 Cable x (Base 15 Ø x 2.5)","N/A","Incandescente","Opcional","Interior","S/C",,,,"C"
"58","V2750","Techo","Wingmei","180","50-60 Hz","127 V~","1.4","189","Acero","Cristal","Inox","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"40 Ø x 12 + 90 Cable x (Base 15 Ø x 2.5)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"59","CIT3L/S","Techo","ING. HERNANDEZ/GUIDO","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"57 x 38. Base 13 ( Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"60","CCF023/ONIX","Techo","AUSTRE / LUZBEY","180","50-60 Hz","127 V~","1.4","189","Acero","ONIX NATURAL","CHOCOLATE","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"57 x 59. Base 13 (cadena: 45 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"61","CFC3L/O","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"54 x 58. Base 13 (cadena: 45 de 1/8) ","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"62","CFT3LP/O","Techo","AUSTRE / GUIDO","180","50-60 Hz","127 V~","1.4","189","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"63 x 47 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"63","CFT3LP/N","Techo","Nacional","180","50-60 Hz","127 V~","1.4","189","Acero Forjado","CRISTAL","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"63 x 47 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"DESCONTINUADO"
"64","CFM3L/O","Techo","AUSTRE / GUIDO","180","50-60 Hz","127 V~","1.4","189","Acero Forjado","CRISTAL","Oxido","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"40 x 56 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"65","CFK3L/O","Techo","AUSTRE / GUIDO","180","50-60 Hz","127 V~","1.4","189","Acero Forjado","CRISTAL","OXIDO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"66 x 57 Base 13 (Cadena: 45 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"SOBREPEDIDO"
"66","2531-3","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"50 x 56.5 Base 13 (Cadena 51.5 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
